Daten abgefragt am 28/11/2022 21:22:41 von [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
Datensatz: ,Verfügbares Pro-Kopf-Einkommen der Haushalte [SDG_10_20],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Letzte Änderung: ,28/11/2022 11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeitliche Frequenz,,Jährlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maßeinheit,,"Kaufkraftstandards (KKS, EU27 ab 2020) pro Einwohner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIME,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,
GEO (Beschriftungen),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europäische Union - 27 Länder (ab 2020),13754,,14524,,14998,,15435,,15968,,16552,,17287,,18027,,18775,,18603,,18980,,19369,,19408,,19543,,19780,,20183,,20693,,21337,,22010,,22738,,23028,,24243,
Europäische Union - 28 Länder (2013-2020),:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Euroraum - 19 Länder (ab 2015),15846,,16671,,17128,,17552,,18072,,18697,,19498,,20179,,20829,,20546,,20849,,21163,,21107,,21251,,21495,,21882,,22347,,22961,,23613,,24281,,24466,,25554,
Belgien,17072,,17746,,18280,,18555,,18779,,19479,,20226,,20723,,21724,,21592,,21935,,22347,,22762,,23186,,23574,,23872,,23933,,24487,,25064,,25934,,26524,p,27726,p
Bulgarien,3868,,4051,,4586,,4989,,5240,,5630,,5985,,6444,,7435,,7369,,7726,,8514,,8590,,8981,,9361,,9657,,10088,,10508,,:,,:,,:,,:,
Tschechien,9409,,10226,,10423,,11116,,11533,,12128,,12590,,13366,,13987,,14433,,14669,,14741,,14832,,15284,,16012,,16341,,16744,,17901,,18673,,19515,,19468,,20845,
Dänemark,13949,,14435,,15187,,15545,,16192,,16734,,17785,,18650,,19207,,19578,,20630,,21033,,21100,,21489,,21610,,22341,,22608,,23546,,24213,,24757,,25022,,25698,
Deutschland (bis 1990 früheres Gebiet der BRD),17725,,18539,,18671,,19550,,20135,,20653,,21251,,21966,,22689,,22594,,23403,,24404,,24888,,25097,,25696,,25992,,26813,,27652,,28717,,29037,p,29689,p,30468,p
Estland,5616,,5915,,6234,,6891,,7414,,8249,,9166,,10159,,11314,,10662,,10716,,11465,,11662,,12260,,12784,,13261,,13772,,14428,,15421,,16089,,16435,,17576,
Irland,13857,,15247,,15643,,16443,,17344,,18658,,19421,,20002,,20372,,19267,,19552,,18718,,18957,,18366,,18078,,18748,,19183,,19900,,20359,,21192,,21945,,23433,
Griechenland,12416,,13372,,14378,,15183,,15941,,16233,,17497,,18054,,19028,,19009,,16843,b,15300,,13985,,13693,,14107,,14349,,14354,,14554,,14789,,15624,p,15018,p,16343,p
Spanien,13341,,14267,,15021,,15489,,15947,,16754,,17467,,17592,,18185,,17813,,17452,,17469,,16746,,16882,,17174,,18045,,18410,,19107,,19353,,20191,p,19678,p,20504,p
Frankreich,16770,,17844,,18581,,18402,,18779,,19657,,20322,,21232,,21647,,21600,,22232,,22618,,22701,,23018,,23187,,23355,,23740,,24163,,24609,,25524,p,25926,p,27247,p
Kroatien,7530,,7719,,8280,,8705,,9135,,9349,,9783,,10493,,11088,,11015,,11068,,11247,,11245,,11503,,11612,,12015,,12640,,13322,,13935,,14563,,14690,,16719,p
Italien,16771,,17367,,17673,,18173,,18513,,19028,,19839,,20605,,21274,,20579,,21015,,21118,,20345,,20192,,20023,,20294,,20856,,21429,,21950,,22428,,22229,,23348,
Zypern,12020,,12493,,12585,,13531,,14766,,16199,,17012,,18379,,20044,,19392,,18780,,18521,,17422,,16903,,16229,,16635,,17846,,18782,,19352,,20693,,20792,,21545,p
Lettland,4905,,5360,,6010,,6571,,7294,,8205,,9363,,10412,,11450,,9904,,10140,,10054,,10807,,11258,,11869,,12706,,13281,,14038,,14829,,15453,,15875,,17880,
Litauen,5868,,6269,,6899,,7817,,8993,,9568,,10533,,10981,,12340,,11653,,12352,,13144,,13704,,14473,,14873,,15516,,16480,,17226,,18002,,19455,,20522,,20999,
Luxemburg,23352,,24277,,26259,,26790,,26705,,27303,,28692,,29035,,30183,,29812,,28893,,29831,,30394,,31829,,31660,,31839,,31491,,32766,,34034,,34674,,35274,,36319,p
Ungarn,7430,,8049,,8696,,9346,,9905,,10574,,10911,,10700,,11027,,11038,,11601,,12380,,12357,,12609,,12832,,13163,,13397,,13935,,14986,,15741,,15760,p,17335,p
Malta,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Niederlande,17583,,18779,,19466,,19113,,19752,,20391,,21861,,22958,,23697,,23336,,22820,,23076,,23227,,23236,,23359,,23577,,23533,,24207,,25294,,26279,,27108,p,28700,p
Österreich,18096,,18038,,18604,,19575,,20217,,21540,,22504,,23128,,23767,,23554,,23763,,24130,,24889,,24913,,25108,,25202,,25634,,26041,,26639,,27352,,26811,,28252,
Polen,7361,,7804,,8084,,8301,,8500,,8539,,9092,,10052,,10731,,11169,,12351,,12893,,13488,,13576,,14111,,14618,,15093,,15541,,16166,,16933,,17828,,17940,
Portugal,12553,,12976,,13254,,13725,,14109,,14993,,15487,,15767,,16348,,16315,,16418,,15895,,15646,,16014,,15974,,16571,,16944,,17256,,18172,,18855,,18506,,19282,p
Rumänien,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Slowenien,11337,,11942,,12575,,12800,,13328,,14061,,14563,,15215,,16135,b,15384,,15636,,16039,,15772,,15672,,15700,,16001,,16549,,17367,,18234,,19130,,19772,,21183,
Slowakei,7156,,7809,,8292,,8291,,8836,,9346,,9936,,11176,,12523,,12705,,13847,,13795,,14001,,14164,,14298,,14961,,14102,,14111,,14784,,15316,,15242,,15916,
Finnland,13598,,13779,,14382,,15031,,16115,,16583,,17510,,19084,,20260,,20403,,21059,,21654,,21957,,22069,,22137,,22592,,22836,,23501,,24186,,24696,,24906,,25823,
Schweden,14679,,15473,,16094,,16449,,16880,,17528,,18791,,20246,,21290,,21126,,21191,,21992,,22848,,22473,,22757,,23237,,23287,,23502,,23829,,24159,,24524,,25680,
Island,13991,,14265,,15016,,15879,,17000,,18237,,19519,,21902,,22169,,19280,,16619,,17635,,18343,,18386,,19033,,:,,:,,:,,:,,:,,:,,:,
Norwegen,16111,,16284,,17728,,18700,,19648,,21289,,20826,,22396,,23218,,23625,,23845,,24542,,25210,,26198,,26657,,26667,,26130,,27616,,28215,,28378,,28305,,30073,
Schweiz,20122,,20932,,21123,,21122,,21747,,22612,,23969,,26108,,27100,,27080,,26786,,27177,,27731,,28516,,29020,,29367,,29080,,28461,,28731,,29077,,29882,p,30611,p
Vereinigtes Königreich,16231,,17220,,17759,,18424,,19641,,19923,,20754,,21286,,21607,,21217,,21446,,21406,,21915,,21879,,22165,,23091,,22874,,23157,,23669,,24508,,:,,:,
Serbien,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,8903,p,8811,p,8937,p,9884,p,10307,p,10443,p,:,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spezial Zeichen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
:,nicht erhältlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erhältliche Flaggen:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b,Zeitreihenbruch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p,vorläufig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
