Data extracted on 28/11/2022 20:56:17 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
Dataset: ,Live births and crude birth rate [TPS00204],,,,,,,,,,,,,,,,,,,,,,,
Last updated: ,11/07/2022 11:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Time frequency,,Annual,,,,,,,,,,,,,,,,,,,,,,
Demographic indicator,,Live births - number,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
TIME,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,
GEO (Labels),,,,,,,,,,,,,,,,,,,,,,,,
European Union - 27 countries (from 2020),4603858,,4458386,,4417656,,4303313,,4361239,,4330922,,4379549,,4328560,,4253256,,4168656,,4071484,,4066082,p
European Union - 28 countries (2013-2020),5411129,,5266162,,5230626,,5081671,,5137147,,5107668,,5153935,,5083314,,4984174,,4881355,p,:,,:,
Euro area - 19 countries  (from 2015),3472945,,3394195,,3349465,,3272880,,3305270,,3280192,,3301935,,3229613,,3170835,,3115288,,3044921,,3077357,p
Euro area - 18 countries (2014),3442269,,3363927,,3319006,,3242995,,3274901,,3248717,,3271312,,3200917,,3142686,,3087895,,3019777,,3054027,p
Belgium,130100,,128705,,128051,,125606,,125014,,122274,,121896,,119690,,118319,,117695,,114350,,118349,p
Bulgaria,75513,,70846,,69121,,66578,,67585,,65950,,64984,,63955,,62197,,61538,,59086,,58678,
Czechia,117153,,108673,,108576,,106751,,109860,,110764,,112663,,114405,,114036,,112231,,110200,,111793,
Denmark,63411,,58998,,57916,,55873,,56870,,58205,,61614,,61397,,61476,,61167,,60937,,63473,
Germany (until 1990 former territory of the FRG),677947,,662685,,673544,,682069,,714927,,737575,,792141,,784901,,787523,,778090,,773144,,795492,
Estonia,15825,,14679,,14056,,13531,,13551,,13907,,14053,,13784,,14367,,14099,,13209,,13272,
Ireland,75174,,74033,,71674,,68954,,67295,,65536,,63841,,61824,,61022,,59289,,55959,,58440,
Greece,114766,,106428,,100371,,94134,,92149,,91847,,92898,,88553,,86440,,83763,,84764,,85303,p
Spain,485252,,470553,,453348,,424440,,426076,,418432,,408734,,391265,,370827,,358747,,340635,,336247,p
France,833654,,824263,,821844,,812343,,819328,,799671,,784325,,770045,,759199,,754008,,735775,,738594,p
France (metropolitan),802224,,792996,,790290,,780000,e,:,,:,,:,,:,,:,,:,,:,,:,
Croatia,43361,,41197,,41771,,39939,,39566,,37503,,37537,,36556,,36945,,36135,,35845,,36508,
Italy,561944,,546585,,534186,,514308,,502596,,485780,,473438,,458151,,439747,,420084,,404892,,399431,p
Cyprus,9801,,9622,,10161,,9341,,9258,,9170,,9455,,9229,,9329,,9548,,9930,,10150,p
Latvia,19781,,18825,,19897,,20596,,21746,,21979,,21968,,20828,,19314,,18786,,17552,,17420,
Lithuania,30676,,30268,,30459,,29885,,30369,,31475,,30623,,28696,,28149,,27393,,25144,,23330,
Luxembourg,5874,,5639,,6026,,6115,,6070,,6115,,6050,,6174,,6274,,6230,,6459,,6690,
Hungary,90335,,88049,,90269,,89524,,93281,,92135,,95361,,94646,,93467,,93100,,93807,,94003,
Malta,3898,,4165,,4130,,4032,,4191,,4325,,4476,,4319,,4444,,4350,,4414,,4395,
Netherlands,184397,,180060,,175959,,171341,,175181,,170510,,172520,,169836,,168525,,169680,,168681,,179441,
Austria,78742,,78109,,78952,,79330,,81722,,84381,,87675,,87633,,85535,,84952,,83603,,86078,
Poland,413300,,388416,,386257,,369576,,375160,,369308,,382257,,401982,,388178,,374954,,355309,,331511,
Portugal,101381,,96855,,89841,,82787,,82367,,85500,,87126,,86154,,87020,,86579,,84530,,79582,
Romania,212199,,196242,,201104,,188599,,198740,,201995,,205773,,210590,,210290,,199720,,198302,,178496,p
Slovenia,22343,,21947,,21938,,21111,,21165,,20641,,20345,,20241,,19585,,19328,,18767,,18984,
Slovakia,60410,,60813,,55535,,54823,,55033,,55602,,57557,,57969,,57639,,57054,,56650,,56565,
Finland,60980,,59961,,59493,,58134,,57232,,55472,,52814,,50321,,47577,,45613,,46463,,49594,
Sweden,115641,,111770,,113177,,113593,,114907,,114870,,117425,,115416,,115832,,114523,,113077,,114263,
Iceland,4907,,4492,,4533,,4326,,4375,,4129,,4034,,4071,,4228,,4452,,4512,,4879,
Liechtenstein,329,,395,,357,,339,,372,,325,,378,,338,,378,,356,,353,,375,p
Norway,61442,,60220,,60255,,58878,,58976,,58815,,58890,,56633,,55120,,54495,,52979,,56060,
Switzerland,80290,,80808,,82164,,82731,,85287,,86559,,87883,,87381,,87851,,86172,,85914,,89644,
United Kingdom,807271,,807776,,812970,,778358,,775908,,776746,,774386,,754754,,730918,,712699,p,:,,:,
Montenegro,7418,,7215,,7459,,7475,,7529,,7386,,7569,,7432,,7264,,7223,,7097,,7033,
North Macedonia,24296,,22770,,23568,,23138,e,23596,e,23075,e,23002,e,21754,e,21333,,19845,,19031,,18648,
Albania,34061,,34285,,35473,,35750,,35760,,32715,,31733,,30869,,28934,,28561,,28075,,27211,
Serbia,68304,,65598,,67257,,65554,,66461,,65657,,64734,,64894,,63975,,64399,,61692,,62180,
TÃ¼rkiye,1238970,,1241412,,1279864,,1283062,,1337504,,1325783,,1309771,,1291055,,1248847,,1183652,,1112859,,1079842,
Andorra,828,,:,,737,,:,,:,,:,,634,,:,,543,,539,,:,,503,
Belarus,108050,,109147,,115893,,117997,,118534,,119028,,117779,,102556,,94042,,87602,,:,,:,
Bosnia and Herzegovina,33528,,31875,,32547,,30684,,29247,,:,,29276,,29158,,29467,,:,,:,,:,
Kosovo (under United Nations Security Council Resolution 1244/99),33751,,27626,,27743,,29327,,25929,,24594,,23416,,23402,,22761,,21798,,:,,:,
Moldova,40474,,39182,,39435,,37871,,40909,be,40855,e,39961,e,36640,ep,34764,e,32022,e,30730,,:,
Monaco,:,,:,,:,,:,,:,,308,e,295,e,:,,227,e,:,,:,,:,
Russia,1788948,,1796629,,:,,1895822,,1913472,,:,,:,,:,,:,,:,,:,,:,
San Marino,:,,325,,292,,320,,296,,269,,262,,228,,235,,232,,:,,212,
Ukraine,497689,,502595,,520705,,503657,,465882,,411781,,397037,,363987,,335874,,308817,,293457,,271983,e
Armenia,44825,,43340,,:,,41790,,43031,,41763,,40592,,37700,,36574,,36041,,36353,,:,
Azerbaijan,165643,,176072,,174469,,172671,,170503,,166210,,159464,,144041,,138982,,141179,,126571,,112284,
Georgia,62585,,58014,,:,,57878,,60635,,59249,,56569,,53293,,51138,,48296,,46520,,45946,
,,,,,,,,,,,,,,,,,,,,,,,,
Special value,,,,,,,,,,,,,,,,,,,,,,,,
:,not available,,,,,,,,,,,,,,,,,,,,,,,
Available flags:,,,,,,,,,,,,,,,,,,,,,,,,
ep,"estimated, provisional",,,,,,,,,,,,,,,,,,,,,,,
be,"break in time series, estimated",,,,,,,,,,,,,,,,,,,,,,,
e,estimated,,,,,,,,,,,,,,,,,,,,,,,
p,provisional,,,,,,,,,,,,,,,,,,,,,,,
